attempt,accepted_index,status,reason,raw_path,programmed_delay_ns,measured_separation_ns,residual_ns,reference_edge_time_ns,target_edge_time_ns,sample_interval_ns,timebase,total_samples,pre_trigger_samples,threshold_adc,captured_utc
1,1,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_1_extref_to_daq\raw\10000ns\attempt_001.csv,10000,10000.558085066506,0.5580850665064645,1998.285131103784,11998.84321617029,2.0,1,11000,1000,5000,2026-07-30T19:08:31.456909+00:00
2,2,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_1_extref_to_daq\raw\10000ns\attempt_002.csv,10000,10001.610536036813,1.6105360368128459,1998.856467593855,12000.467003630669,2.0,1,11000,1000,5000,2026-07-30T19:08:31.523335+00:00
3,3,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_1_extref_to_daq\raw\10000ns\attempt_003.csv,10000,10001.481449781797,1.4814497817969823,1999.0848589522166,12000.566308734013,2.0,1,11000,1000,5000,2026-07-30T19:08:31.567392+00:00
4,4,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_1_extref_to_daq\raw\10000ns\attempt_004.csv,10000,10000.869237278786,0.869237278786386,1998.5009124087592,11999.370149687546,2.0,1,11000,1000,5000,2026-07-30T19:08:31.613294+00:00
5,5,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_1_extref_to_daq\raw\10000ns\attempt_005.csv,10000,10001.569958435668,1.5699584356680134,1998.9572284872497,12000.527186922918,2.0,1,11000,1000,5000,2026-07-30T19:08:31.668070+00:00
6,6,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_1_extref_to_daq\raw\10000ns\attempt_006.csv,10000,10001.618041353528,1.6180413535275875,1998.8796564279712,12000.497697781499,2.0,1,11000,1000,5000,2026-07-30T19:08:31.709658+00:00
7,7,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_1_extref_to_daq\raw\10000ns\attempt_007.csv,10000,10000.577195817556,0.5771958175555483,1998.4193161790624,11998.996511996618,2.0,1,11000,1000,5000,2026-07-30T19:08:31.757745+00:00
8,8,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_1_extref_to_daq\raw\10000ns\attempt_008.csv,10000,10000.804911722014,0.8049117220143671,1998.5105619768833,11999.315473698898,2.0,1,11000,1000,5000,2026-07-30T19:08:31.802196+00:00
9,9,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_1_extref_to_daq\raw\10000ns\attempt_009.csv,10000,10001.575168189744,1.5751681897436356,1998.6364421416235,12000.211610331367,2.0,1,11000,1000,5000,2026-07-30T19:08:31.843359+00:00
10,10,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_1_extref_to_daq\raw\10000ns\attempt_010.csv,10000,10001.632459786559,1.6324597865586838,1998.83454384411,12000.467003630669,2.0,1,11000,1000,5000,2026-07-30T19:08:31.889854+00:00
11,11,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_1_extref_to_daq\raw\10000ns\attempt_011.csv,10000,10001.287529019195,1.2875290191950626,1999.301920685367,12000.589449704563,2.0,1,11000,1000,5000,2026-07-30T19:08:31.934719+00:00
12,12,ACCEPTED,,C:\Users\Chris\Documents\GitHub\Control_System\calibration\system_recalibration_001\readbacks\T2-01\setup_1_extref_to_daq\raw\10000ns\attempt_012.csv,10000,10001.150914537098,1.1509145370982878,1999.4793531166588,12000.630267653758,2.0,1,11000,1000,5000,2026-07-30T19:08:31.978420+00:00
